asp_perf,marker,stem,luokka,freq,infl,prof,lang,asp_imp
0,suffix,CB/HCB,eka,high,past,C2,chi,1
0,suffix,CB/HCB,eka,high,past,B2,fin,1
0,suffix,CB/HCB,eka,high,past,A2,fr,1
0,suffix,CB/HCB,eka,high,infinite,B2,fin,1
0,suffix,CB/HCB,eka,high,infinite,B2,fin,1
0,suffix,CB/HCB,eka,high,infinite,B2,fin,1
0,suffix,CB/HCB,eka,high,infinite,B2,fin,1
0,suffix,CB/HCB,eka,high,infinite,B2,fin,1
0,suffix,CB/HCB,eka,high,infinite,B2,eng,1
0,suffix,CB/HCB,eka,high,infinite,B2,eng,1
0,suffix,CB/HCB,eka,high,infinite,B2,fin,1
0,suffix,CB/HCB,eka,high,infinite,B2,fin,1
0,suffix,CB/HCB,eka,high,infinite,B2,fin,1
0,suffix,CB/HCB,eka,high,infinite,B2,fin,1
0,suffix,CB/HCB,eka,high,infinite,A2,eng,1
0,suffix,CB/HCB,eka,high,infinite,B2,eng,1
0,suffix,CB/HCB,eka,high,infinite,A2,fr,1
0,simplex,HCB/CB,eka,high,infinite,B2,eng,1
0,simplex,CB/HCB,viides,high,past,B2,eng,1
0,simplex,CB/HCB,viides,high,past,B2,fin,1
0,suffix,CB/HCB,eka,high,past,B2,eng,1
0,suffix,CB/HCB,eka,high,past,B2,eng,1
0,suffix,CB/HCB,eka,high,past,A2,eng,1
0,suffix,CB/HCB,eka,high,past,B2,eng,1
0,suffix,CB/HCB,eka,high,infinite,A2,fr,1
0,suffix,CB/HCB,eka,high,infinite,A2,eng,1
0,suffix,CB/HCB,eka,high,infinite,B2,eng,1
0,suffix,CB/HCB,eka,high,infinite,B2,eng,1
0,suffix,CB/HCB,eka,high,infinite,B2,eng,1
0,suffix,CB/HCB,eka,high,infinite,B2,eng,1
0,suffix,CB/HCB,eka,high,infinite,B1,fr,1
0,suffix,CB/HCB,eka,high,infinite,A2,eng,1
0,suffix,CB/HCB,eka,high,infinite,B2,fin,1
0,suffix,CB/HCB,eka,high,infinite,A2,fr,1
0,suffix,CB/HCB,eka,high,infinite,B2,fin,1
0,suffix,CB/HCB,eka,high,infinite,B1,fr,1
0,suffix,CB/HCB,eka,high,non-past,B2,fin,1
0,suffix,CB/HCB,eka,high,non-past,B2,fin,1
0,suffix,CB/HCB,eka,high,past,B2,eng,1
0,suffix,CB/HCB,eka,high,past,B2,fin,1
0,suffix,CB/HCB,eka,high,past,B1,ger,1
0,suffix,CB/HCB,eka,high,past,B1,ger,1
0,suffix,CB/HCB,eka,high,past,B1,ger,1
0,suffix,CB/HCB,eka,high,past,B2,eng,1
0,suffix,CB/HCB,eka,high,infinite,B1,eng,1
0,suffix,CB/HCB,eka,high,infinite,B1,ger,1
0,suffix,CB/HCB,eka,high,non-past,B2,fin,1
0,suffix,CB/HCB,eka,low,past,B1,nor,1
0,suffix,CB/HCB,eka,low,past,B2,fin,1
0,suffix,CB/HCB,eka,low,infinite,B2,fin,1
0,suffix,CB/HCB,eka,low,infinite,B2,fin,1
0,suffix,CB/HCB,eka,low,past,B1,eng,1
0,suffix,CB/HCB,eka,low,infinite,B2,fin,1
0,suffix,CB/HCB,eka,low,past,A2,eng,1
0,suffix,CB/HCB,viides,low,infinite,B2,fin,1
0,suffix,CB/HCB,eka,low,non-past,B2,fin,1
0,suffix,CB/HCB,eka,low,past,A2,fr,1
0,suffix,CB/HCB,eka,low,non-past,A2,eng,1
0,suffix,CB/HCB,eka,low,non-past,A2,eng,1
0,suffix,CB/HCB,eka,low,non-past,A2,fr,1
0,suffix,CB/HCB,eka,low,past,B2,fin,1
0,suffix,CB/HCB,eka,low,infinite,B1,eng,1
0,suffix,CB/HCB,eka,low,non-past,B2,fin,1
0,suffix,CB/HCB,eka,same,infinite,B2,eng,1
